,Company,Job,Location,Salary,Specific_location,Summary
219,Cortex IT Recruitment,Demo Solutions Engineer,Cambridge,40000.0,Cambridgeshire,"Strong academic background (Technology, Science degree preferred). They are a technology company that brings new insights through new ways of treating data...."
220,ECM Selection,Software Build and Operations Engineer,Cambridge,55000.0,Cambridgeshire,"Applicants are expected to be degree graduates in computer science, maths, engineering or physics with subsequent industry experience...."
221,The One Group,Software Engineer - Mobile App,Cambridge,35000.0,Cambridge,They founded combining video and data to enhance data analysis in motorsport. Data acquisition and analysis....
222,ECM Selection,JavaScript / TypeScript: Front-end development,Cambridge,55000.0,Cambridge,"JavaScript, TypeScript, ECMA, web front-end, UI, big data, Cambridge. Front-end design experience, utilising common UI frameworks and tools for data..."
223,Cambridge Assessment,Senior Research Manager- Artificial Intelligence/ Machine Le...,Cambridge,54750.0,Cambridge,Collaborate with the Principal Data Scientist in Validation and Data Services to develop and implement the organization’s strategy for Data Analytics....
224,Redline Group,Development Engineer - Electronics & Mechanical,Cambridge,40000.0,Cambridgeshire,"> Experience with Data Acquisition and Value Engineering. > Preferably Degree Qualified - Engineering (Mechanical, Aeronautical, Automotive) or Science (Physics..."
225,Ashley Kate HR,Internal Recruitment Consultant,Cambridge,25000.0,Cambridge,"Gathering and collating accurate recruitment data with the ability to provide and analyse reports. Working closely with all departments and disciplines, you..."
226,ECM Selection,Embedded Software Engineer: Healthcare Technologies,Cambridge,50000.0,Cambridge,"An excellent understanding working with embedded technologies, chipsets and circuit boards – you’ll understand memory allocations, registers and interpreting..."
227,University of Cambridge,Research Assistant/Associate in Portable High Field Magnet S...,Cambridge,28208.0,Cambridge,"Compile and analyse quantitative and qualitative data; The applicant must have (or be close to obtaining) a PhD in a relevant discipline (Physics, Electrical..."
228,Agenda Life Sciences,Licensed Animal Technician,Cambridge,17500.0,Huntingdon,"Accurate record keeping, collecting data both manually and using electronic data capture systems. Experience recording laboratory paperwork and using laboratory..."
229,The Dove Partnership,Java Developer,Cambridge,45000.0,Bishops Stortford,"Creation of custom visualisation methods for data analysis. Degree in Computer Science or similar, or in any scientific discipline with relevant experience...."
230,The Dove Partnership,Junoir Java Developer,Cambridge,29500.0,Bishops Stortford,"The role also involves the creation of custom visualisation methods for data analysis, developing and maintaining tools for simplifying access to data stored in..."
231,Exact Sourcing ltd,Laboratory Technician,Cambridge,15500.0,Newmarket,A level – Science or equivalent. Assist in the generation of accurate and timely sample and QC data in line with client expectations and Quality Systems....
232,University of Cambridge,Research Associate (Postdoc) in Statistical Physics/Evolutio...,Cambridge,35218.5,Cambridge,Science 2015) has found large mutant clones exist even in healthy tissues. What level of selection is necessary to explain age incidence curves and clone...
233,Language Matters Recruitment Consultants Ltd.,Korean speaking Researcher / Analyst,Cambridge,30000.0,Cambridgeshire,"A background in science (such as physics, life sciences, engineering, chemistry) is highly beneficial. Passion for science, such as physics, engineering,..."
234,Public Health England,Software Developer (Higher Executive Officer) - Information...,Cambridge,32987.0,Cambridge CB21,PHE is bringing together its national scientific laboratories and headquarters to create one of the worldâs leading centres for public health science in...
236,Aspire Cambridge,Lab Technician,Cambridge,15676.0,Newmarket,A level – Science or equivalent. Assistance in the generation of accurate and timely sample and QC data in line with client....
237,Resourcing Life Science,Senior Clinical QA Auditor Cambridgeshire,Cambridge,45000.0,Cambridgeshire,A Biological Science Degree. Reporting to the Clinical quality assurance manager this will be a broad based role which will allow you to get involved with and...
238,ECM Selection,Senior C# Software Engineer,Cambridge,60000.0,Cambridge,Real-time data capture and system control (preferably in a Windows environment). 1st Class or 2:1 BSc or BEng/MEng in Computer Science or other relevant degree...
239,Evolution Recruitment Solutions,Lead Java Developer/Engineer/Programmer upto,Cambridge,65000.0,Cambridge,Do you want to work on projects at the forefront of Machine Learning and Data Science? Bridging the greatest minds in Data and Computer science in...
240,Repositive,Business Development Analyst and Community Coordinator in Tr...,Cambridge,25000.0,Cambridge,"At all times, you will be an advocate for Repositive’s market vision, representing and exemplifying good practices for data protection, data governance and..."
241,Polkadotfrog,Embedded C/C++ Software Engineer,Cambridge,65000.0,Cambridge,"The embedded code captures the image data, runs the full image processing pipeline, manages the user data and serves that data through an oAuth2 secured REST..."
242,University of Cambridge,Cambridge Alliance on Medicines Safety Junior Research Fello...,Cambridge,35218.5,Cambridge,Combining experimental data with clinical safety data to influence the computational design of molecules and the development of algorithms to translate organ...
243,CK Group,Senior Regulatory Manager - CMC,Cambridge,62500.0,Cambridge,Educated to degree level or above in life science or a related field with extensive experience within Regulatory Affairs and an in-depth knowledge of technical...
244,ECM Selection,C++ Software Engineer,Cambridge,50000.0,Cambridge,"1st or 2:1 in computer science or a related subject from a top university. You will get to turn your thinking to problems with real world engineering data,..."
245,Acorn Recruitment Limited,Quality Engineer 1388,Cambridge,56860.0,Stevenage,EIDP Generation (End Item Data Pack). Acorn Recruitment is working on behalf of a well-established international company whose focus is on the design and...
246,SVC Group Ltd,Java Developer,Cambridge,45000.0,Bishops Stortford,Degree in Computer Science. This also involved creation of custom visualisation methods for data analysis. Calling all Java Whizzes!!...
249,Electus Recruitment Solutions Ltd,Analysis Consultant,Bristol,31500.0,Bath,"You will possess a good degree in a Mathematics , Science, Technology or engineering subject. Do you have Mathematical Modelling/Data Analysis experience in an..."
250,RAC Motoring Services,Telematics Data Scientist,Bristol,40000.0,Bristol,Role purpose -Perform data analysis on telemetry and claims data within existing Matlab framework. Good Maths or Science degree essential....
251,University of Bath,KTP Health Data Scientist - KTP Associate (Fixed Term Contra...,Bristol,33000.0,Bath,"A PhD (or equivalent) in statistics, mathematics, computer science or a related field. The company provides placement opportunities and has a collaborative PhD..."
252,Public Health England,Epidemiology and Information Analyst-919-AP-1333271-EXT,Bristol,22280.0,Bristol,"PHE is bringing together its national scientific laboratories and headquarters to create one of the worlds leading centres for public health science in Harlow,..."
253,Happy City,Senior Data Analyst,Bristol,30000.0,Bristol,We have space for a multi-talented Data Analyst to star in our all-star team. We produce measurement tools which use the proofs of modern science to help people...
254,Trapeze Group Limited,Data Security Analyst,Bristol,23500.0,Staverton,Data Security Analyst. College diploma or university degree in the field of computer science. Educated to a degree level in computer science or Cyber related...
255,Polecat Intelligence Ltd,Software Engineer,Bristol,40000.0,Bristol,"Data engineering, perhaps working with data scientists. Data applications, dashboards, data exploration and visualisation, D3...."
256,On Direct Business Services Limited,Intern Junior Developer/Data Analyst,Bristol,17000.0,Bath and North East Somerset,Data Centre Modernisation. Ticketing and activity data. Currently studying towards a Computer Science Degree....
257,Good Energy,Interim Project and Data Analyst – 12 month FTC,Bristol,27500.0,Chippenham,"With a degree in Mathematics, Statistics, Data Science or Data Analytics, you will have an understanding, being competent in and having experience of technical..."
258,Public Health England,26008490-EXT - Principal Public Health Intelligence Analyst,Bristol,52762.0,Bristol,"PHE is bringing together its national scientific laboratories and headquarters to create one of the worlds leading centres for public health science in Harlow,..."
259,University of Bath,Research Associate (fixed-term role),Bristol,32548.0,Bath,"You will join a multi-disciplinary team spanning the departments of Physics and Computer Science at Bath, becoming a member of two world-leading research groups..."
260,University of Bath,Research Administrator (Fixed Term),Bristol,21585.0,Bath,"In addition, the post holder will be required to develop and implement systems to effectively manage data and ensure compliance with regulations...."
261,Jisc,Metadata Developer,Bristol,36500.0,Bristol,"Data and metadata solutions would include data models, vocabularies, tools, software, advice, documentation and use cases demonstrating the potential of greater..."
262,English Institute of Sport,Sports Psychologist,Bristol,33835.5,Bath,Ability to scientifically validate the methodology of test protocols and data and other relevant scientific data....
263,re&m,"Costing Analyst/Modelling- C,Bristol",Bristol,27500.0,Bristol,"Data analysis using Access and Excel. Minimum 2:1 degree in Science, Maths or Engineering (higher degree(s) in relevant subjects would be an advantage)...."
264,DNA Worldwide Group,Senior Software Engineer - Bioinformatics,Bristol,60000.0,Bristol,"Are you, or could you be comfortable with advanced statistical concepts, data mining, and visualization of biological data types?..."
265,MW Appointments,Trainee Application Support Analyst,Bristol,22500.0,Bristol,Create data fixes to system databases using SQL Server. Manage non-production environments in line with IT standards and procedures and industry best practice...
266,Assystem UK,Cyber Security Engineer,Bristol,50000.0,Bristol,"Data reviews to identify risks and application of systems knowledge to classify them. Assystem Technologies, an award winning multi-disciplinary engineering..."
267,ADLIB,Innovation Programmer (C++),Bristol,35000.0,Bristol,"An academic background or strong personal ability within Computer Science or Mathematics is needed. Any professional or personal knowledge of augmented reality,..."
269,Premium Resourcing,Software Developers: UI (web),Bristol,52500.0,Lawrence Hill BS1,"Logic, data structures,. Computer Science or similar degree. Premium Resourcing are actively recruiting experienced Software Developers for UI (web) on behalf..."
270,Ecodesk,Junior Front End Web Developer,Bristol,25000.0,Bath,BSc in Computer Science (or equivalent). Ecodesk is a multi-award winning sustainable value chain data platform established in 2008....
271,ECM Selection,Senior Software Developers - Machine Division / Image Proces...,Bristol,70000.0,Bristol,"Working alongside some of the brightest innovators in the industry, you should have an outstanding academic background (top degree from a top Uni & excellent A..."
272,techfolk Ltd,Lamp Developer,Bristol,41500.0,Bristol,"Solid understanding of Computer Science fundamentals, OOP principles and design patterns. The system represents complex business logic and handles sensitive..."
273,Heat Recruitment,"Senior Software Engineer, Distributed Build Systems",Bristol,52500.0,Bristol,BSc in Computer Science or similar experience. The role is as a software engineer who will join a team that develops a distributed build accelerator that...
274,Moxie and Mettle Limited,Conference and Events Manager,Bristol,32500.0,Bristol,"Experience of working in a science, manufacturing, chemicals, oil & gas, medical or engineering background would be useful but isn’t essential...."
275,Three People,b2b Conference & Events Manager,Bristol,32500.0,Bristol,"Experience of working in a science, manufacturing, chemicals, oil & gas, medical or engineering background would be useful but isn't essential...."
277,ADLIB,Senior Software Engineer,Bristol,47500.0,Bristol,Ideally an undergraduate or postgraduate Software Engineering / Computer Science / Electronics / Physics or Maths degree or equivalent experience....
278,Williams Lea Tag,Office Assistant,Bristol,15580.0,Bristol,You will provide data to the Office Services Team Leader when required and report any issues to the Team Leader or Office Manager....
279,Aerian Studios Ltd,Senior Javascript Developer,Bristol,40000.0,Corsham SN13,"Lead on designing and building of all front-end components (UI, presentation layers, templates, and integration with data services)...."
280,Actavis UK Limited,Clinical Manager,Bristol,47500.0,Bristol,"The ability to analyse data and write reports would be beneficial. Please note, a degree-level qualification in a life sciences subject is essential for this..."
281,Talent International,Java Developer,Bristol,35000.0,Bristol,"Familiarity with machine learning and data mining technologies. A 2:1 degree or equivalent qualification in Software Engineering, Computer Science or related..."
282,Baxter Personnel,Building Services Consulting Engineer,Bristol,45000.0,Bristol,"Experienced in statistical analysis and manipulation of data. Interested in Energy Management • energy profiles, energy data and characteristics;..."
283,XIST4 IT LIMITED,Senior Software Engineer. Frome,Bristol,60000.0,Frome BA11,"Comfortable with advanced statistical concepts, data mining and/or visualization of biological data types. Bioinformatics, Biochemistry, Applied Mathematics,..."
284,Darwin Recruitment,Senior Erlang Software Engineer,Bristol,65000.0,Bath,Comfortably in writing clean Erlang code Mathematical thinker Understanding of data science Beneficial experience:....
285,MSI Group,Compliance Officer,Bristol,22500.0,Street,Complete regular data cleaning exercises and manage candidate pipelines. Utilise and interrogate data to monitor progress towards individual objectives....
286,Corinium Language Associates Ltd,German and Italian speaking Customer service,Bristol,20850.0,Emersons Green,Accurate data handling experience. The company is based in the Bristol and Bath Science Park in Emersons Green between Bath and Bristol with lots of parking and...
287,University of Bath,Lecturer (Assistant Professor) / Senior Lecturer / Reader (A...,Bristol,39992.0,Bath,"For example, the Department of Computer Science collaborates with the Bath Institute for Mathematical Innovation ( IMI ) and the Department of Mathematical..."
288,Techfolk Limited,Senior PHP / LAMP Developer,Bristol,41500.0,Bristol,"Solid understanding of Computer Science fundamentals, OOP principles and design patterns. The system represents complex business logic and handles sensitive..."
290,Energi People UK,Software Assurance Engineer,Bristol,42000.0,Bristol,"Managing the software assurance data set and tools. Educated to degree level, HND/HNC in Engineering, Science, Mathematics or equivalent experience...."
291,ReThink Recruitment,DevOps Engineer,Bristol,57500.0,Bristol,"University degree ideally in Computer Science, Software Engineering, Engineering, Maths or Science (or comparable)...."
292,Heat Recruitment,Full Stack Software Engineer,Bristol,40000.0,Bristol,Relational databases and data modelling. They are a leader in the risk management / risk intelligence big data space and have been delivering ‘big data’...
293,Wessex Water Services Limited,Trade effluent technician,Bristol,24713.5,Bath,"Do you hold a degree qualification (or equivalent) in a science or engineering subject, and have an interest in environmental management and regulation?..."
294,Appoint Recruitment,Test Engineer- PSE,Bristol,32000.0,Chippenham,"Test Engineer- PSE You will be responsible for the testing of software products prior to release, involving manual testing and automated testing of existing..."
296,University of Bath,Marie Sklodowska-Curie Innovative Training Network MAESTRO P...,Bristol,31250.0,Bath,"Fifteen Early Stage Researchers (ESRs), employed by MAESTRO will be trained in (i) science and technology in physics, chemistry, materials science, electrical..."
297,Omega Resource Group,Test Technician,Bristol,21500.0,Bristol,"Collect and organize test and measurement data. We are always seeking Engineering Staff, Senior Managers, Skilled and Semi-Skilled Machinists, Mechanical..."
298,White Horse Employment,Lab Technician,Bristol,17500.0,Trowbridge,"In addition, you will keep accurate records of raw materials including Health & Safety data sheets, so good IT skills are needed...."
299,Gresham Technologies PLC,Graduate Software Engineers - Bristol - Summer 2018,Bristol,25000.0,Bristol BS2 BS2,Excellent programming skills gained through a Computer Science (or similar) degree. We are now seeking graduates to join our revolution for disruptive data...
300,STFC,Software Engineer,Oxford,41888.5,Didcot,"STFC’s Scientific Computing Department (SCD) develops leading edge software, computer and data storage infrastructures to support the work of world class..."
301,University of Oxford,Statistical Programmer/Data Scientist,Oxford,35218.5,Oxford,You will also require experience in large scale data management and genetic analysis as well as exceptional time management and problem solving skills....
302,Optellum,"Research Scientist (Machine Learning, Computer Vision, Data...",Oxford,50000.0,Oxford OX1,"Research Scientist (Machine Learning, Computer Vision, Data Scientist)*. TensorFlow, Caffe), GP-GPU, big data (e.g.Spark) and/or health IT (ontologies, FHIR)...."
303,Tessella,Data Scientist / Software Developer,Oxford,30000.0,Abingdon,"Using data science, analytics and a variety of analytical, statistical or machine learning techniques to interpret client data, helping them to make better..."
304,University of Oxford,Qualitative Researcher (Cancer Early Diagnosis),Oxford,35218.5,Oxford,The appointee will be a qualitative social scientist with experience of collecting data through interviews and using theory-driven approaches to analysis....
305,University of Oxford,Senior Data Scientist (Mezurio App),Oxford,43857.0,Oxford,"You will require a strong understanding of statistical methods for analysing longitudinal data, and must be able to demonstrate instances of solving significant..."
306,The University of Manchester,Data Analyst,Oxford,28591.5,Harwell,The Faculty of Science and Engineering wishes to appoint a suitably qualified and highly motivated individual as a Data Analyst....
307,Nuffield Department of Medicine,Bioinformatician in Statistical Cancer Genomics,Oxford,52132.0,Oxford,You will be educated to PhD level (or equivalent) in a quantitative science with research experience in academia or industry....
308,University of Oxford,Bioinformatician in Statistical Cancer Genomics,Oxford,52132.0,Oxford,You will be educated to PhD level (or equivalent) in a quantitative science with research experience in academia or industry....
309,SQ Computer Personnel Limited,Data Scientist,Oxford,45000.0,Oxford,"Experience with common data science toolkits. Data Scientist, Machine Learning, Data Mining, SQL , Python, Matplotlib...."
310,University of Oxford,ARC - GPU Research Software Advisor,Oxford,43857.0,Oxford,"Working within the University’s Advanced Research Computing team, the successful candidate will focus on providing software engineering expertise and support to..."
311,Datatech Analytics,Data Scientist,Oxford,25000.0,Oxfordshire,Experience of statistical modelling coupled with data science and analytics work experience. Capable of exploring data and analytical methods independently....
312,Reqiva,EXPERIENCED DATA SCIENTIST,Oxford,42500.0,Oxford,"Experienced Data Scientist (Python/R/NumPy/Pandas, Big Data) Oxford £35,000-£50,000. The ideal candidate will have BSc, MSc or PhD in a relevant subject and a..."
313,University of Oxford,Research Associate in the Social Science of Animal Research,Oxford,31604.0,Oxford,"Changing Constitutions of Science, Health and Welfare. They will undertake interviews and ethnographic work exploring the implications of new spaces..."
314,University of Oxford,Knowledge Exchange Officer - Research and Integration,Oxford,35218.5,Oxford,"The School holds an Athena Swan Bronze award, highlighting its commitment to promoting women in Science, Engineering and Technology...."
316,University of Oxford,Postdoctoral Research Associate,Oxford,35218.5,Oxford,We invite applications for Postdoctoral Research Associate positions to join the New Approaches to Bayesian Data Science:....
317,University of Oxford,Postdoctoral Research Scientist in Neuroscience,Oxford,42418.0,Oxford,"Computer science, engineering, physics), experience in machine learning methods and algorithms, proficiency in computer programming (e.g., Matlab, Python, C++);..."
318,Evox Therapeutics Ltd,Process Development Technician or Scientist,Oxford,27500.0,Oxford,Present experimental data both formally and informally to a range of company employees and analyse data using a variety of statistical techniques....
319,NP Group,Head of Data Science,Oxford,120000.0,Oxfordshire,"You have a strong background in data science / mathematical modelling and at least 3+ years of experience in a data science leadership role, preferably in an..."
320,Oxford Brookes University,Research Fellow PEPPER Project 2x Posts,Oxford,30688.0,Oxford,Conducting research into data visualizations of healthcare data that are appropriate for both web-based interfaces and handheld devices....
321,Public Health England,Senior Public Health Intelligence Analyst,Oxford,40402.5,Oxford,"Knowledge transfer, health economics or data science. The post holder will also have data science skills including the ability to query datasets using SQL query..."
322,Evox Therapeutics Ltd,Assay Development/Quality Control Scientist,Oxford,27500.0,Oxford,"Tracking and trending of generated QC data, as necessary. Review testing data and records of other QC analysts, as applicable...."
323,Understanding Recruitment,"Energy Analyst (Forecasting Models, Big Data)",Oxford,40000.0,Oxfordshire,"Data Analytics, Data Analysis, Energy Modelling, Energy Modelling Analyst, PhD, Masters, Oxford, Cambridge, Imperial, Energy Sector, Energy Market, Modelling..."
324,University of Oxford,Postdoctoral Researcher in Global Health and Population Scie...,Oxford,35218.5,Oxford,"Contribute ideas for new research projects, work independently to prepare working theories, gather, analyse and present qualitative and/or quantitative data..."
325,Perspectum Diagnostics,Innovation and Clinical Science Assistant 12 Month Placement,Oxford,18000.0,Oxford,Support with data curation and identify data quality issues. Data processing and preparation of scientific information for reporting in grant applications....
326,Client Server,Python Developer Java RESTful,Oxford,55000.0,Oxfordshire,"Java, geo-spatial and spatial location data, Spark, Django, Ruby on Rails, Angular.js, Backbone.js. 2.1 at BSc in Computer Science or similar and likely to have..."
327,Graduate Recruitment Bureau,Graduate Life Science Analyst,Oxford,25000.0,Oxfordshire,Data collation and analysis. Keen interest in Life Science. They are seeking a Life Science graduate to join their Systematic Review team....
328,Oxford University Innovation Ltd,Investment Associate,Oxford,31500.0,Oxford,Effectively managing data and possession of high levels of attention to detail in all areas of their work....
329,University of Oxford,Postdoctoral Researcher in Sociogenomics,Oxford,35218.5,Oxford,They will be engaged in quantitative research and preferably experience of already working with molecular genetic data....
330,Earthwatch Institute,Online GIS Support,Oxford,26000.0,Summertown,"Undertaking GIS mapping, analysis and data management. Facilitating data acquisition, guaranteeing data security, increasing scientific output and dissemination..."
331,ECM Selection,Data Engineer: Quant / Finance,Oxford,75000.0,Oxford,"Data engineer, big data, Oxford, finance, Java, Python, SQL, AWS. Commercial experience developing cloud frameworks for data service platforms;..."
332,University of Oxford,Human Factors Research Assistant,Oxford,30808.0,Oxford,Nuffield Department of Surgical Sciences includes the Patient Safety Academy (PSA) which has been running since 2013 with funding from Health Education Thames...
333,Procter & Gamble,Data Engineer – Management Position (Reading),Oxford,30000.0,Reading,"The Data engineer identifies data sources, creates effective data processing pipelines, and partners with multiple functional teams to enable insight generation..."
334,University of Oxford,Researcher on FADAMS,Oxford,35218.5,Oxford,"Foundations of Factorised Data Management Systems. Department of Computer Science, Wolfson Building, Parks Road, Oxford...."
335,University of Oxford,Postdoctoral Research Officer in Middle East Studies,Oxford,35218.5,Oxford,"They will be involved in research, data collection, fieldwork and writing the publications based on the research for the project...."
336,University of Oxford,Postdoctoral Research Assistant in Computation Solid Mechani...,Oxford,35218.5,Oxford,"The Department holds an Athena Swan Bronze award, highlighting its commitment to promoting women in Science, Engineering and Technology...."
337,University of Oxford,Postdoctoral Research Assistant in Finite Element Modelling,Oxford,35218.5,Oxford,"The Department holds an Athena Swan Bronze award, highlighting its commitment to promoting women in Science, Engineering and Technology...."
338,STFC,Energy Data Scientist Sandwich Student,Oxford,18946.0,Didcot,The Science and Technology Facilities Council (STFC) is one of Europe’s largest science research organisations....
339,NERC,"Research Associate, Water Resources Hydrologist",Oxford,23000.0,Wallingford,"Hydro meteorological data processing, management and analysis (automated and manual quality control methods, data visualisation, statistical data analysis using..."
340,Amadeus Software Ltd,Graduate Scheme,Oxford,23500.0,Witney,"Amadeus Software specialises in data science and business analytics using SAS software, delivering world-class services globally for organisations of all sizes...."
341,University of Oxford,Clinical Data Manager - UK TAVI,Oxford,30808.0,Oxford,"You will work closely with the Trial Manager and Trial Coordinator to ensure that quality data processing systems are in place, ensuring the completeness,..."
342,University of Oxford,Analysis Research Software Engineer,Oxford,35218.5,Oxford,"The FMRIB Centre Analysis Group conducts research in methods and modelling of brain imaging data, including functional MRI, diffusion MRI, structural MRI, EEG,..."
343,University of Oxford,Web Developer,Oxford,43857.0,Oxford,"Knowledge about working with Amazon Web Services hosted databases, the PHP-platform and the specific requirements surrounding confidential health data and..."
344,University of Oxford,Senior Researcher in Information Systems (2 posts),Oxford,35218.5,Oxford,"Department of Computer Science, Wolfson Building, Parks Road, Oxford. Researchers in all topics related to reasoning with connections to data semantics will be..."
345,SRG,"Graduate Scientist - Synthetic Chemistry, Oxford, £30-35K",Oxford,32500.0,Oxford,"Accurately recording, analysing and presenting lab data. SRG is a trading name of Science Recruitment Group Ltd an Employment Business/Agency...."
346,University of Oxford,Part-time Senior Information Manager,Oxford,50013.5,Oxford,"This is to include seeking and gaining approvals for access to data, data sharing and data processing in the UK...."
347,University of Oxford,Facilities Manager BDI Building,Oxford,43857.0,Oxford,"The Department is a key partner in the Big Data Institute and occupy part of the state-of-the-art Big Data Institute Building (BDIB), which opened in February..."
348,University of Oxford,Senior Software Developer,Oxford,43124.0,Oxford,"Department of Computer Science, Wolfson Building, Parks Road, Oxford. A PhD in Computer Science (or related discipline), good working knowledge of C++,..."
349,Diamond Light Source,"Principal Beamline Scientist, I06",Oxford,57915.0,Didcot,Demonstrated expertise in aspects of polarised soft x-ray science; Experience of polarised x-ray science and knowledge of related techniques (e.g....
350,Richard Wheeler Associates,"Test Automation Engineer, Python",Oxford,45000.0,Oxford,A degree in computer science or similar STEM qualification. This very high growth software technology company is developing location based services with full...
351,STFC,Raman Spectroscopy Scientist,Oxford,31677.0,Didcot,Experience in Raman data analysis. Experience in laser spectroscopic and associated data analysis. PhD (or equivalent) in natural sciences (or within 6 months...
352,Richard Wheeler Associates,"Backend Engineer - Python, Cloud",Oxford,52500.0,Oxford,"A degree in Computer Science or a related field. This very high growth software technology company is developing location based services with full scalability,..."
353,PDQ Engineering Recruitment Ltd,Senior Product Manager,Oxford,60000.0,Oxfordshire,"Life Science, Physical Science or Engineering Degree. Experience of taking a product to market, from product design, development and manufacturing, through to..."
354,Reqiva,JUNIOR FULL-STACK DEVELOPER,Oxford,40000.0,Oxford,I now require a Full-Stack Engineer who has a background developing in Python or Ruby as well as interest in Prototyping / Data Science....
355,STFC,Estates Customer Service Manager,Oxford,36172.5,Didcot,"The Science and Technology Facilities Council is a world-leading multi-disciplinary science organisation, and our goal is to deliver economic, societal,..."
356,STFC,Estates Space Planning Manager,Oxford,39888.5,Didcot,"You will ensure accurate space data is maintained, including a review of how such data is managed. Experience of managing space utilisation surveys, audits and..."
357,Inspiring Interns,Data Analyst,Oxford,16000.0,Berkshire,"Degree in Computer Science (or related discipline) preferred experience with SQL. To design, develop and implement data capture, processing and insight systems..."
358,University of Oxford,Clinical Trial Manager,Oxford,33577.0,Oxford,"Experience and understanding of techniques for the management of medical research information e.g. data coding, entry validation and reporting will also be..."
359,IntaPeople,Software Developer,Oxford,37500.0,Oxford,"Degree educated (mathematical, computer science or scientific background preferred). Writing code for internal and customer projects such as data analysis,..."
360,Opus Recruitment Solutions,Software Developer,Oxford,27500.0,Oxford,"Degree educated (mathematical, computer science or scientific background preferred). Writing code for internal and customer projects such as data analysis,..."
361,Thames Water Utilites,IS PMO reporting analyst,Oxford,42500.0,Reading,Having an interest in data science is desirable. Analyse data to track poor performance indicators. Ensure data quality in in line with required standards...
362,Careerwise UK Limited,It Project Analyst,Oxford,15000.0,Aylesbury,Data analysis and project budgetary reporting. A degree in Computer sciences /Project Management or a relevant business area....
363,University of Oxford,Human Tissue Inventory Platform Migration Specialist,Oxford,35218.5,Oxford,"Knowledge of relevant legislation related to human data and sample acquisition, storage and processing is desirable...."
364,CBSbutler,Lead Software Developer,Oxford,85000.0,Oxfordshire,+ Big Data. + Degree qualified or equivalent in Software Engineering / Computer Science or other relevant discipline....
365,University of Reading,Postdoctoral Research Assistant – Soil Biogeochemistry,Oxford,31173.5,Reading,Strong skills in quantitative analysis of environmental data. A PhD or equivalent in Environmental Science or other relevant discipline....
366,Nuvola Resourcing,Data Engineer (Predictive Analytics / Data Science),Oxford,70000.0,Henley on Thames,Outstanding opportunity for a Data Engineer to join a high quality financial services company that has strong team of Data Engineers and Data Scientists....
367,SQ Computer Personnel Limited,Application Support Analyst,Oxford,25000.0,Oxford,"BSc / degree in Computer Science or similar technical discipline,. We are working on behalf of our Abingdon-based client, a global technology company who create..."
368,SQ Computer Personnel Limited,Software Support Analyst,Oxford,27000.0,Abingdon,"BSc / degree in Computer Science or similar technical discipline,. We are on the lookout for a talented Software Support Analyst on behalf of our Abingdon-based..."
369,Haybrook,Software Support Analyst,Oxford,27000.0,Abingdon,"BSc / degree in Computer Science or similar technical discipline,. We are on the lookout for a talented Software Support Analyst on behalf of our Abingdon-based..."
370,CBSbutler,Software Development Lead,Oxford,85000.0,Oxfordshire,+ Big Data. + Degree qualified or equivalent in Software Engineering / Computer Science or other relevant discipline....
372,CK Group,Statistical Programmer,Oxford,52500.0,High Wycombe,"Bachelors degree or higher in computer science, Mathematics and or other scientific fields is needed. Critically review requirements and data, identify gaps..."
373,ECM Selection,Online E-platform Developer,Oxford,100000.0,Oxford,Implementation of secure authentication protocols for handling confidential data; Candidates should also demonstrate a strong academic background and...
374,Chemistree,– South Central,Oxford,75000.0,Berkshire,"Degree level education (or equivalent), preferably life sciences. Ensuring that both personal and cross functional team expertise of market, competitors and..."
375,Nuvola Resourcing,Senior Data Engineer / Developer,Oxford,95000.0,Thames Valley,"Exposure to data visualization tools a plus. You’ll be a part of a dynamic, diverse and collaborative team that wants to hear your input because you know the..."
376,ReThink Recruitment,C++ Developer,Oxford,52500.0,Oxford,Experience with IMU data and Localization. Graduate degree in computer science or related field. An innovative software technology company is currently seeking...
377,Opus Recruitment Solutions,Technical Specialist - Oxford,Oxford,25000.0,Oxford,"A passion for science, engineering, and technology. My client is a respected software company specializing in computational science and technical innovation...."
378,STFC,Product Assurance Group Leader,Oxford,50880.0,Didcot,Receipt and delivery of end item data packages to accompany delivered items. The Science and Technology Facilities Council (STFC) is one of Europe’s largest...
379,CBSbutler,Senior QA Test Analyst,Oxford,63000.0,Oxfordshire,+ Degree qualified or equivalent in Computer Science or other relevant discipline. A Senior QA Test Analyst is required to join a new team working for an...
380,CBSbutler,Senior Test Analyst,Oxford,63000.0,Oxfordshire,+ Degree qualified or equivalent in Computer Science or other relevant discipline. A Senior Test Analyst is required to join a new team working for an...
381,Haybrook,Application Support Analyst,Oxford,25000.0,Abingdon,"BSc / degree in Computer Science or similar technical discipline,. We are working on behalf of our Abingdon-based client, a global technology company who create..."
384,CBSbutler,Software Developer - GUI,Oxford,40000.0,Bicester,+ Degree qualified or equivalent in Computer Science / Physics or Mathematics based discipline. A Software Developer is required to join a Software Development...
385,Graduate Recruitment Bureau,Graduate Technical Support Consultant,Oxford,23000.0,Wallingford,"2.2 level or above in Computer Science, Maths, Physics, Engineering or related. This niche software house has over 30 years' experience...."
386,RowAnalytics Limited,Product Manager,Oxford,34000.0,Kidlington OX5,We specialize in multi-dimensional and hyper-combinatorial data in life science and healthcare. Comfort manipulating and analysing customer data....
